title,company,link,c_,l_,posted_date,applications,job_modality,f_p_time,job_responsibility,job_skills,job_salary,scraped_on
Estadístico/a con experiencia en programación en lenguaje R,Psicoanalista en Madrid,https://www.linkedin.com/company/psicoanalista-en-madrid/life,Psicoanalista en Madrid,"Madrid, Comunidad de Madrid, España",hace 1 semana,80 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Análisis de datos estadísticos, Estadística, Modelos estadísticos, Modelos matemáticos y R (Lenguaje de programación)",,2024-03-10
Analista de Datos/ Data Analyst - Centro de I+D+ i,ALSA,https://www.linkedin.com/company/alsa/life,ALSA,"Gijón, Principado de Asturias, España",hace 1 día,66 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Bases de datos, Capacidad de análisis, Inglés y Resolución de problemas, Diseño de procesos, Estadística, Minería de datos, Modelos analíticos y Preparación de datos",,2024-03-10
Consultor/a BI | Teletrabajo,ALTEN,https://www.linkedin.com/company/alten/life,ALTEN,Barcelona y alrededores,hace 4 días,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Consultor BI,CGI,https://www.linkedin.com/company/cgi/life,CGI,"Madrid, Comunidad de Madrid, España",hace 1 día,76 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data Analyst,TD SYNNEX,https://www.linkedin.com/company/tdsynnex/life,TD SYNNEX,"Barcelona, Cataluña, España",hace 2 semanas,72 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
BI Analyst,Criteo,https://www.linkedin.com/company/criteo/life,Criteo,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data Analyst - People (They/She/He),Glovo,https://www.linkedin.com/company/glovo-app/life,Glovo,"Barcelona, Cataluña, España",hace 1 semana,30 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Analista de datos,Grupo Godó de Comunicación,https://www.linkedin.com/company/grupo-god%C3%B3-de-comunicaci%C3%B3n/life,Grupo Godó de Comunicación,"Barcelona, Cataluña, España",hace 3 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
Data Analyst,Veeva Systems,https://www.linkedin.com/company/veeva-systems/life,Veeva Systems,España,Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
Data Analyst,Huxley,https://www.linkedin.com/company/huxley/life,Huxley,"Barcelona, Cataluña, España",hace 1 semana,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
