job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
Estadístico/a con experiencia en programación en lenguaje R,Psicoanalista en Madrid,2024-03-06,80,Presencial,Jornada completa,,"Análisis de datos estadísticos, Estadística, Modelos estadísticos, Modelos matemáticos y R (Lenguaje de programación)",Data Scientist,Madrid,Comunidad de Madrid,España,,0
Analista de Datos/ Data Analyst - Centro de I+D+ i,ALSA,2024-03-12,66,Híbrido,Jornada completa,Junior,"Analítica de datos, Bases de datos, Capacidad de análisis, Inglés y Resolución de problemas, Diseño de procesos, Estadística, Minería de datos, Modelos analíticos y Preparación de datos",Data Analyst,Gijón,Principado de Asturias,España,,1
Consultor/a BI | Teletrabajo,ALTEN,2024-03-09,879,En remoto,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,2
Consultor BI,CGI,2024-03-12,76,Híbrido,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,3
Data Analyst,TD SYNNEX,2024-02-28,72,Híbrido,Jornada completa,Junior,,Data Analyst,Barcelona,Cataluña,España,,4
BI Analyst,Criteo,2024-03-06,720,Híbrido,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,5
Data Analyst - People (They/She/He),Glovo,2024-03-06,30,Híbrido,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,6
Analista de datos,Grupo Godó de Comunicación,2024-02-21,536,Presencial,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,7
Data Analyst,Veeva Systems,2024-02-28,980,En remoto,Jornada completa,,,Data Analyst,,,España,,8
Data Analyst,Huxley,2024-03-06,437,En remoto,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,9
Data Analyst,Novicap,2024-03-09,41,Híbrido,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,10
Data & Analyst Executive,dentsu,2024-03-06,54,Híbrido,Jornada completa,Junior,,Data Analyst,Madrid,Comunidad de Madrid,España,,11
Data Governance Analyst,Revolut,2024-03-06,46,En remoto,Jornada completa,Junior,,Data Analyst,,,España,,12
Data Analyst (becario),Eurofirms Group | People first,2024-03-06,83,Presencial,Jornada completa,Junior,,Data Analyst,Cassà de la Selva,Cataluña,España,,13
"Data Analyst, Business Performance Analytics",Criteo,2024-03-10,93,Híbrido,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,14
Operations Data Analyst (They/She/He),Glovo,2024-02-28,934,Híbrido,Jornada completa,Junior,,Data Analyst,Barcelona,Cataluña,España,,15
Data Analyst GCP,knowmad mood,2024-02-21,178,Híbrido,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,16
Product Data Analyst (Analytics & Insights Team),Semrush,2024-03-10,73,En remoto,Jornada completa,Junior,,Data Analyst,,Cataluña,España,,17
Data Analyst - SQL y PySpark,excelia,2024-03-10,576,Híbrido,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,18
Online Data Analyst - Spain,TELUS International AI Data Solutions,2024-02-28,1062,En remoto,Media jornada,Junior,,Data Analyst,,Comunidad de Madrid,España,,19
Data Analyst Senior,Werfen,2024-03-06,144,Híbrido,Jornada completa,Senior,,Data Analyst,Barcelona,Cataluña,España,,20
BECARIO/A QUANTITATIVE RESEARCHER,MANGO,2024-03-06,93,Híbrido,Jornada completa,Intermedio,,Data Scientist,Palau-solità i Plegamans,Cataluña,España,,21
Data Analyst Omnichannel,Hays,2024-03-06,41,Híbrido,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,22
Information Protection Analyst,Technip Energies,2024-02-28,20,Presencial,Jornada completa,Intermedio,,Data Analyst,Barcelona,Cataluña,España,,23
