nombre_habilidad,Data Analyst,Data Analyst,Data Analyst,Data Engineer,Data Engineer,Data Engineer,Data Scientist,Data Scientist,Data Scientist,tipo_habilidad
,Intermedio,Junior,Senior,Intermedio,Junior,Senior,Intermedio,Junior,Senior,
Ciencia de datos,44,26,21,38,38,2,45,21,23,Hard Skill
Analítica de datos,52,72,7,14,17,2,18,10,14,Soft Skill
Bases de datos,26,40,4,37,24,11,4,1,1,Soft Skill
Ingeniería de datos,1,5,0,62,41,11,15,10,2,Hard Skill
Capacidad de análisis,37,54,6,12,7,0,8,1,16,Soft Skill
SQL,21,20,19,40,12,9,16,1,2,Hard Skill
Comunicación,27,27,4,25,19,5,11,7,14,Soft Skill
Python,16,2,0,44,14,5,35,5,17,Soft Skill
Extraer,18,7,3,54,34,13,1,0,0,Soft Skill
transformar,18,7,3,54,34,13,1,0,0,Soft Skill
cargar (ETL),18,7,3,54,34,13,1,0,0,Soft Skill
Analítica,45,21,23,5,7,0,7,6,5,Hard Skill
Resolución de problemas,26,46,19,13,7,0,5,2,0,Soft Skill
Visualización de datos,44,31,3,6,4,0,13,7,7,Soft Skill
Estadística,40,33,1,2,1,0,10,4,5,Hard Skill
Inglés,37,33,4,16,1,2,1,0,1,Soft Skill
Análisis de datos,41,31,1,8,3,0,8,0,0,Hard Skill
Modelado de datos,26,16,2,23,9,2,2,1,0,Soft Skill
Almacenamiento de datos,5,3,2,35,26,5,2,0,0,Soft Skill
Aprendizaje automático,25,1,18,3,1,1,13,3,4,Hard Skill
Procesamiento de lenguaje natural,1,0,0,2,2,0,20,14,19,Hard Skill
Análisis predictivo,1,1,0,0,1,0,19,17,19,Hard Skill
Microsoft Power BI,37,2,0,9,3,0,3,0,1,Hard Skill
Matemáticas,30,8,0,1,1,0,3,3,4,Hard Skill
R (Lenguaje de programación),1,5,18,1,1,0,4,3,15,Hard Skill
Panel de control,26,14,3,0,1,0,2,0,0,Soft Skill
Ciencias de la computación,6,0,5,9,10,2,4,6,4,Hard Skill
Tableau,32,2,0,3,0,0,5,1,1,Hard Skill
Minería de datos,4,26,0,3,3,0,3,2,2,Hard Skill
Amazon Web Services (AWS),7,0,0,30,0,4,2,0,0,Hard Skill
Aprendizaje profundo,1,0,0,0,0,0,16,8,17,Soft Skill
Visualización,14,20,1,0,1,1,2,0,2,Soft Skill
Trabajo en equipo,29,0,0,7,0,1,2,0,1,Soft Skill
Big data,1,3,0,15,13,4,0,0,1,Soft Skill
Microsoft Azure,4,0,0,18,3,2,6,0,0,Hard Skill
Google Cloud,4,0,0,13,6,4,2,0,2,Hard Skill
Atención al detalle,11,5,2,5,3,0,4,0,0,Soft Skill
Necesidades empresariales,7,3,6,4,6,1,1,1,0,Soft Skill
Análisis estadístico,2,2,18,0,2,0,1,2,2,Soft Skill
Snowflake,4,2,2,11,6,0,2,1,0,Soft Skill
Calidad de datos,7,3,2,7,4,3,0,1,0,Soft Skill
Datasets,8,10,0,2,3,1,2,1,0,Soft Skill
Presentaciones,7,8,0,0,3,0,2,4,3,Soft Skill
Inteligencia empresarial,11,0,2,8,0,0,4,0,0,Soft Skill
Scala,0,0,0,13,7,3,0,0,1,Hard Skill
Canalizaciones de datos,0,1,0,13,5,3,0,0,0,Soft Skill
Apache Spark,0,1,0,11,5,4,0,0,0,Hard Skill
Arquitectura de datos,3,0,1,10,3,3,0,0,0,Hard Skill
Análisis de datos estadísticos,2,0,0,0,0,0,8,8,1,Soft Skill
Lenguajes de programación,0,0,0,3,1,0,1,1,11,Soft Skill
Manipulación de datos,2,7,0,1,2,1,2,1,1,Soft Skill
PySpark,0,1,0,6,3,3,4,0,0,Hard Skill
Qlik Sense,14,1,1,1,0,0,0,0,0,Hard Skill
Gobierno de datos,5,3,1,6,0,2,0,0,0,Soft Skill
Indicadores clave de desempeño,8,8,0,0,1,0,0,0,0,Soft Skill
Java,1,0,0,11,2,2,0,0,0,Hard Skill
Google BigQuery,2,3,0,5,2,3,1,0,0,Hard Skill
Modelo de datos,2,3,0,4,3,2,0,1,0,Soft Skill
Snowflake cloud,5,1,2,4,2,0,0,1,0,Hard Skill
Gestión de datos,3,2,4,2,1,2,0,0,0,Soft Skill
DevOps,2,0,0,10,0,0,2,0,0,Soft Skill
Reconocimiento de patrones,0,0,0,2,1,0,6,4,1,Hard Skill
Conocimientos comerciales,6,8,0,0,0,0,0,0,0,Soft Skill
Herramientas ETL,1,0,2,6,2,2,1,0,0,Hard Skill
Modelos estadísticos,1,0,0,0,0,0,7,5,1,Soft Skill
Análisis de negocio,11,1,0,0,0,0,0,0,0,Soft Skill
Buena práctica clínica,1,0,0,0,5,2,0,0,4,Soft Skill
Desarrollo de software,0,1,0,6,2,2,1,0,0,Soft Skill
Habilidades sociales,7,0,0,1,1,0,2,1,0,Soft Skill
NoSQL,0,3,0,4,0,2,0,1,1,Hard Skill
Pandas (Software),0,1,0,2,1,0,2,4,1,Hard Skill
Pensamiento crítico,4,3,1,1,0,0,0,0,0,Soft Skill
Amazon Redshift,1,1,0,6,1,0,0,0,0,Hard Skill
Recogida de datos,1,1,0,1,2,0,1,0,0,Soft Skill
Análisis cuantitativo,4,0,0,1,0,0,0,0,0,Hard Skill
